order,sub_no,cond,trial,id,p,x,q,y,choice
0,0,0,94,122,40,500,80,10,1
0,0,0,95,73,20,200,40,100,1
0,0,0,96,104,20,500,100,10,1
0,0,0,97,17,20,50,80,20,1
0,0,0,98,103,20,500,80,10,1
0,0,0,99,157,80,200,80,20,0
0,0,0,100,159,100,200,20,100,0
0,0,0,101,94,60,200,100,50,1
0,0,0,102,134,40,500,80,200,1
0,0,0,103,41,20,100,80,50,1
0,0,0,104,23,40,50,80,20,1
0,0,0,105,95,60,200,80,100,1
0,0,0,106,39,20,100,40,50,0
0,0,0,107,1,20,20,40,10,1
0,0,0,108,154,80,500,40,20,0
0,0,0,109,31,20,100,40,10,0
0,0,0,110,91,60,200,80,20,0
0,0,0,111,143,60,500,100,100,1
0,0,0,112,32,20,100,60,10,0
0,0,0,113,36,20,100,60,20,0
0,0,0,114,19,40,50,60,10,1
0,0,0,115,146,80,500,100,10,0
0,0,0,116,106,20,500,60,20,1
0,0,0,117,170,80,500,40,500,0
0,0,0,118,117,20,500,40,200,1
0,0,0,119,92,60,200,100,20,1
0,0,0,120,123,40,500,100,10,1
0,0,0,121,97,80,200,100,10,1
0,0,0,122,180,60,50,20,50,0
0,0,0,123,51,40,100,100,50,1
0,0,0,124,13,20,50,80,10,1
0,0,0,125,179,100,200,20,20,0
0,0,0,126,119,20,500,80,200,1
0,0,0,127,88,40,200,100,100,1
0,0,0,128,124,40,500,60,20,1
0,0,0,129,56,60,100,80,50,1
0,0,0,130,161,80,200,40,100,0
0,0,0,131,162,80,200,80,100,0
0,0,0,132,8,60,20,80,10,1
0,0,0,133,33,20,100,80,10,1
0,0,0,134,60,80,100,100,50,1
0,0,0,135,29,80,50,100,10,1
0,0,0,136,149,80,500,100,100,1
0,0,0,137,79,40,200,100,10,1
0,0,0,138,76,20,200,100,100,1
0,0,0,139,78,40,200,80,10,0
0,0,0,140,21,40,50,100,10,1
0,0,0,141,82,40,200,100,20,1
0,0,0,142,47,40,100,80,20,1
0,0,0,143,175,100,200,40,50,0
0,0,0,144,52,60,100,80,10,0
0,0,0,145,5,40,20,60,10,0
0,0,0,146,98,80,200,100,20,0
0,0,0,147,37,20,100,80,20,1
0,0,0,148,46,40,100,60,20,1
0,0,0,149,22,40,50,60,20,1
0,0,0,150,166,60,200,20,10,0
0,0,0,151,24,40,50,100,20,1
0,0,0,152,66,20,200,60,20,1
0,0,0,153,108,20,500,100,20,1
0,0,0,154,18,20,50,100,20,1
0,0,0,155,62,20,200,60,10,1
0,0,0,156,74,20,200,60,100,1
0,0,0,157,139,60,500,100,20,1
0,0,0,158,70,20,200,60,50,1
0,0,0,159,53,60,100,100,10,0
0,0,0,160,113,20,500,40,100,1
0,0,0,161,20,40,50,80,10,1
0,0,0,162,75,20,200,80,100,1
0,0,0,163,64,20,200,100,10,1
0,0,0,164,87,40,200,80,100,1
0,0,0,165,118,20,500,60,200,1
0,0,0,166,4,20,20,100,10,1
0,0,0,167,101,20,500,40,10,0
0,0,0,168,6,40,20,80,10,1
0,0,0,169,169,20,500,20,50,0
0,0,0,170,126,40,500,100,20,1
0,0,0,171,163,40,200,40,10,0
0,0,0,172,81,40,200,80,20,1
0,0,0,173,25,60,50,80,10,0
0,0,0,174,178,60,500,60,200,0
0,0,0,175,173,40,200,20,50,0
0,0,0,176,111,20,500,80,50,1
0,0,0,177,131,40,500,80,100,1
0,0,0,178,151,100,500,80,20,0
0,0,0,179,156,100,100,20,100,0
1,2,0,0,98,80,200,100,20,0
1,2,0,1,149,80,500,100,100,1
1,2,0,2,108,20,500,100,20,1
1,2,0,3,173,40,200,20,50,0
1,2,0,4,143,60,500,100,100,1
1,2,0,5,91,60,200,80,20,0
1,2,0,6,94,60,200,100,50,0
1,2,0,7,54,60,100,80,20,0
1,2,0,8,68,20,200,100,20,1
1,2,0,9,154,80,500,40,20,0
1,2,0,10,53,60,100,100,10,0
1,2,0,11,144,60,500,80,200,1
1,2,0,12,156,100,100,20,100,0
1,2,0,13,66,20,200,60,20,0
1,2,0,14,14,20,50,100,10,1
1,2,0,15,168,100,10,80,10,0
1,2,0,16,172,80,20,60,10,0
1,2,0,17,180,60,50,20,50,0
1,2,0,18,62,20,200,60,10,1
1,2,0,19,130,40,500,60,100,1
1,2,0,20,37,20,100,80,20,1
1,2,0,21,67,20,200,80,20,1
1,2,0,22,82,40,200,100,20,0
1,2,0,23,56,60,100,80,50,1
1,2,0,24,41,20,100,80,50,1
1,2,0,25,19,40,50,60,10,0
1,2,0,26,105,20,500,40,20,1
1,2,0,27,23,40,50,80,20,1
1,2,0,28,102,20,500,60,10,1
1,2,0,29,74,20,200,60,100,1
