INSPID ROUND  TREAT S_NCSL S_FALSEPOS S_SOFTMAINT S_TRUEDEF S_MAJORISS S_MEETGAIN S_PREPDEF S_MEETDUR TEAM_ILOAD_PRE TEAM_RLOAD_PRE TEAM_MLOAD_PRE AUTH_ILOAD_PRE AUTH_RLOAD_PRE AUTH_MLOAD_PRE AUTH_ILOAD_POS AUTH_RLOAD_POS AUTH_MLOAD_POS S_AVAILDATE S_MEETDATE S_REPAIRDATE S_AVAILMONTH S_AV2DIST S_DIST2PREP S_PREP2PREP S_PREP2MEET S_MEET2MEET S_MEET2REP S_REP2REP S_PREMEET S_POSTMEET S_RA S_RB S_RC S_RD S_RE S_RF S_RG S_RH S_RI S_RJ S_RK S_RL S_RM S_RN S_RO S_RP S_RQ 
    20     1  1sX4p    220          4          31         7          1          4         3 1.6666667     3.13333333     2.06666667     13.0000000     2.66666667     0.60000000     11.2666667     6.46666667      2.6666667      3.4000000         229        245          259        95/02         3           1           8           0           0          9         1        12         10    0    1    0    1    0    1    1    0    0    0    0    0    0    0    0    0    0
    21     1 2sX2pR    296          4          25         9          0          4         5 1.2500000     1.86666667     1.86666667      0.0000000     1.53333333     1.53333333      4.6666667     1.93333333      1.7333333      4.7333333          11         14           22        94/07         0           3           0           0           0          5         1         3          6    0    0    0    0    1    0    1    0    0    0    0    0    0    0    0    0    0
    21     2 2sX2pR    415         10          31        11          1          3         8 1.7500000     5.00000000     3.80000000      3.2666667     3.00000000     1.66666667      4.6000000     3.53333333      2.7333333      3.5333333          22         34           36        94/07         0           5           3           0           0          2         0         8          2    0    0    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0
    22     1  1sX2p    889         15          24        17          5         10         7 2.8333333     3.26666667     3.26666667      0.4000000     2.80000000     1.73333333      4.6000000     3.73333333      2.0000000      4.0666667          19         28           35        94/07         1           2           4           0           0          3         2         7          5    0    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0
    23     1  1sX2p    967          4          13         5          1          3         2 1.3333333     3.26666667     3.26666667      0.4000000     2.80000000     1.73333333      4.6000000     2.86666667      2.6666667      2.8666667          19         39           41        94/07         1          13           0           0           0          1         1        14          2    0    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0
    24     1  1sX2p    763          4          45         3          0          2         1 2.3333333     6.66666667     2.60000000      3.8666667     0.86666667     0.33333333      5.6666667     1.46666667      1.4000000      1.0000000         243        253          271        95/02         1           4           1           0           2         12         0         8         12    0    0    0    1    1    0    0    0    0    0    0    0    0    0    0    0    0
    25     1 2sX2pN   1030          0           3         4          0          2         2 0.2500000     2.26666667     2.26666667      0.0000000     6.66666667     1.13333333      5.8666667     2.73333333      4.8000000      3.8666667         238        253          253        95/02         3           6           2           0           0          0         0        11          0    0    0    0    1    0    0    0    1    0    0    0    0    0    0    0    0    0
    25     2 2sX2pN   1030          3           2         6          1          2         4 0.6666667     4.20000000     3.33333333      3.0666667     6.66666667     1.13333333      5.8666667     0.86666667      4.8666667      4.1333333         238        259          261        95/02         3           0           1          11           0          1         1        15          2    0    0    0    0    0    1    0    0    1    0    0    0    0    0    0    0    0
    26     1  1sX4p    199          3          36         6          0          2         4 2.1666667     3.93333333     9.40000000     16.3333333     2.66666667     1.13333333      2.4666667     3.46666667      2.0666667      3.1333333         376        398          400        95/07         3          12           1           0           0          1         1        16          2    0    1    0    0    1    1    0    0    0    0    1    0    0    0    0    0    0
    27     1  1sX2p    440         12          15        14          0         11         3 1.3833333     6.66666667    11.06666667     12.5333333     4.46666667     0.80000000      6.7333333     1.60000000      4.3333333      0.6000000         383        411          419        95/07         2          18           0           0           0          6         0        20          6    0    0    0    0    0    1    0    0    0    1    0    0    0    0    0    0    0
    28     1  1sX4p    364         12          16         6          0          2         4 1.3000000     4.60000000     3.26666667     17.1333333     4.46666667     0.80000000      6.7333333     2.46666667      3.6000000      0.6666667         383        405          412        95/07         2           8           5           1           0          3         2        16          5    0    1    1    0    1    0    0    0    1    0    0    0    0    0    0    0    0
    29     1 2sX1pN    118          0           8         0          0          0         0 0.1666667     2.53333333     2.53333333      0.0000000     4.46666667     0.80000000      6.7333333     5.13333333      1.8666667      1.1333333         383        396          396        95/07         2           7           0           0           0          0         0         9          0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0
    29     2 2sX1pN    118          0           3         0          0          0         0 0.3333333     2.60000000     2.60000000      0.0000000     4.46666667     0.80000000      6.7333333     4.80000000      1.8666667      1.0000000         383        397          413        95/07         2           4           0           4           0         12         0        10         12    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0
    30     1 2sX2pN    321          6          17         2          0          2         0 1.0000000     4.60000000     3.06666667      2.9333333     4.46666667     0.80000000      6.7333333     6.93333333      1.7333333      1.3333333         383        391          417        95/07         2           3           1           0           0         17         1         6         18    0    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0
    30     2 2sX2pN    321          9          29         4          0          1         3 1.3666667     6.66666667    11.06666667     12.5333333     4.46666667     0.80000000      6.7333333     2.66666667      3.2666667      0.6666667         383        404          418        95/07         2          12           1           0           0          9         1        15         10    0    0    0    0    0    1    1    0    0    0    0    0    0    0    0    0    0
    31     1 2sX1pN    906          9          33        12          0          5         7 2.5000000     3.26666667     3.26666667     17.1333333     4.46666667     0.80000000      6.7333333     5.46666667      1.0000000      5.4000000         383        385          389        95/07         1           0           1           0           0          1         1         2          2    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    31     2 2sX1pN    906          1          18         6          0          5         1 2.0666667     1.60000000     1.60000000      0.0000000     4.46666667     0.80000000      6.7333333     6.53333333      1.8000000      1.3333333         383        392          393        95/07         1           5           0           1           0          1         0         7          1    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0
    32     1 2sX2pN    623          2           0         0          0          0         0 0.2000000     0.53333333     0.53333333      0.0000000     1.73333333     5.26666667      6.6000000     2.00000000      4.0000000      7.6000000         425        438          438        95/08         0           8           1           0           0          0         0         9          0    0    0    0    0    0    0    0    1    0    0    1    0    0    0    0    0    0
    32     2 2sX2pN    623          2           1         1          0          0         1 0.1666667     0.93333333     1.06666667      2.0000000     1.73333333     5.26666667      6.6000000     2.46666667      3.5333333      9.0000000         425        470          473        95/08         0           1          10          22           0          0         1        33          1    0    0    0    1    0    0    0    0    1    0    0    0    0    0    0    0    0
    33     1 2sX1pN    566          8          23         3          1          1         2 1.3666667     1.53333333     1.53333333      1.8000000     2.06666667     1.00000000      3.0666667     2.13333333      1.7333333      3.3333333         454        469          475        95/09         4           6           0           1           0          2         2        11          4    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0
    33     2 2sX1pN    566          3          17         5          2          2         3 1.0000000     2.53333333     3.53333333      8.4000000     2.06666667     1.00000000      3.0666667     2.06666667      1.8000000      3.2000000         454        470          475        95/09         4           8           0           0           0          1         2        12          3    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0
    34     1  1sX2p    458          4           7         2          0          1         1 0.7333333     2.66666667     2.06666667      3.0000000     2.26666667     2.13333333      7.4000000     1.00000000      0.2666667      9.5333333         477        501          501        95/10         0           7           9           0           0          0         0        16          0    0    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0
    35     1  1sX4p    165          2          16         1          0          1         0 0.9166667     1.33333333     1.86666667      2.5333333     0.60000000     0.06666667      3.2666667     1.20000000      1.1333333      4.2666667         278        287          298        95/04         2           0           5           0           0          7         0         7          7    1    0    0    0    0    1    1    0    1    0    0    0    0    0    0    0    0
    36     1  1sX2p     89          0           2         3          0          3         0 0.3333333     1.20000000     1.20000000      1.4000000     0.73333333     0.00000000      9.2666667     1.00000000      0.0000000      7.5000000         506        523          523        95/11         8           2           0           1           0          0         0        11          0    0    0    1    0    0    0    1    0    0    0    0    0    0    0    0    0    0
    37     1  1sX4p    361          6          14         5          2          1         4 1.0833333     4.00000000     1.53333333      9.4000000     3.06666667     2.33333333      5.0000000     1.60000000      2.1333333      9.7333333         299        313          319        95/04         2           3           5           0           0          4         0        10          4    0    1    0    0    0    0    0    1    0    0    1    0    0    0    0    0    1
    38     1  1sX2p    379          0          23         7          2          5         2 1.2500000     2.53333333     2.53333333      0.0000000     3.06666667     2.33333333      5.0000000     3.20000000      1.8000000      4.4000000         299        307          319        95/04         2           2           1           1           0          0         8         6          8    0    0    0    0    0    0    1    0    1    0    0    0    0    0    0    0    0
    39     1 2sX1pN    428          3          16         7          2          5         2 1.0833333     2.86666667     1.40000000      1.0666667     5.20000000     1.06666667     13.6000000     7.40000000      1.4000000     12.8666667         323        328          329        95/05         1           0           0           2           0          0         1         3          1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    39     2 2sX1pN    428          2           5         3          0          1         2 0.9000000     2.13333333     2.73333333      2.5333333     5.20000000     1.06666667     13.6000000     6.20000000      4.0666667     15.4666667         323        334          340        95/05         1           2           0           4           0          4         0         7          4    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0
    40     1 2sX2pN    230          1          18         0          2          0         0 0.7500000     2.86666667     1.40000000      1.0666667     5.20000000     1.06666667     13.6000000     7.60000000      1.8666667     13.0000000         323        329          329        95/05         1           1           1           1           0          0         0         4          0    0    0    1    0    0    0    0    0    1    0    0    0    0    0    0    0    0
    40     2 2sX2pN    230          4          12         0          3          0         0 0.8166667     1.40000000     1.40000000      0.0000000     5.20000000     1.06666667     13.6000000     5.60000000      4.2666667     16.0000000         323        335          340        95/05         1           6           1           0           0          3         0         8          3    0    0    0    0    0    0    0    1    0    1    0    0    0    0    0    0    0
    41     1 2sX1pN    245          0          12         5          6          3         2 0.5000000     1.06666667     1.06666667      7.1333333     5.20000000     1.06666667     13.6000000     6.20000000      4.0666667     15.4666667         323        334          341        95/05         1           6           0           0           0          4         1         7          5    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0
    41     2 2sX1pN    245          2           6         2          4          1         1 0.5333333     1.93333333     1.93333333      0.0000000     5.20000000     1.06666667     13.6000000     5.60000000      4.2666667     16.0000000         323        335          341        95/05         1           6           0           1           0          3         1         8          4    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0
    42     1 2sX2pN    363          3          10         5          5          3         2 0.8333333     2.13333333     2.73333333     10.8666667     5.20000000     1.06666667     13.6000000     7.60000000      1.8666667     13.0000000         323        329          391        95/05         1           0           2           1           0          8        36         4         44    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0
    42     2 2sX2pN    363          5          16         6          8          5         1 1.6666667     1.93333333     1.93333333      7.1333333     5.20000000     1.06666667     13.6000000     7.80000000      2.3333333     13.1333333         323        330          391        95/05         1           2           1           1           0          7        36         5         43    0    0    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0
    43     1  1sX2p    291          5          12         1          2          0         1 0.8333333     1.20000000     2.66666667     10.8666667     5.20000000     1.06666667     13.6000000     7.40000000      1.4000000     12.8666667         323        328          392        95/05         1           0           1           1           0          6        40         3         46    0    1    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0
    44     1 2sX2pN    267          3           6         2          0          1         1 0.6666667     1.40000000     1.40000000      0.0000000     1.06666667     0.00000000      2.4666667     2.53333333      2.4000000      0.3333333         312        328          347        95/05         1           9           2           0           0         13         0        12         13    0    0    0    0    0    0    1    0    0    1    0    0    0    0    0    0    0
    44     2 2sX2pN    267          2           6         1          0          0         1 0.3833333     1.13333333     3.73333333      3.0666667     1.06666667     0.00000000      2.4666667     2.53333333      2.4000000      0.3333333         312        328          347        95/05         1          10           0           1           0         13         0        12         13    0    0    0    0    1    0    0    0    0    0    1    0    0    0    0    0    0
    45     1 2sX1pN    231          2           2         1          0          0         1 0.2500000     1.53333333     1.53333333      0.0000000     7.06666667     1.06666667     12.8000000     4.80000000      4.2000000     15.0000000         327        354          394        95/05         0          19           0           0           0          2        28        19         30    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0
    45     2 2sX1pN    231          2           4         0          0          0         0 0.2333333     1.13333333     1.13333333      0.0000000     7.06666667     1.06666667     12.8000000     4.26666667      4.7333333     14.8666667         327        356          394        95/05         0           6           0          15           0         28         0        21         28    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0
    46     1  1sX4p    250          3           9         1          0          0         1 0.3333333     2.60000000     2.46666667      2.4666667     7.06666667     1.06666667     12.8000000     4.53333333      4.4666667     14.8666667         327        355          397        95/05         1           2          17           0           0         30         0        20         30    0    0    1    0    1    0    0    1    1    0    0    0    0    0    0    0    0
    47     1 2sX2pN    200          1           4         1          5          0         1 0.4500000     1.53333333     1.53333333      0.0000000     4.60000000     3.40000000     16.1333333     2.60000000      6.4000000     14.6000000         347        361          393        95/06         1           8           1           0           0          0        24        10         24    0    0    0    0    0    0    0    1    0    1    0    0    0    0    0    0    0
    47     2 2sX2pN    200          5           6         2          1          0         2 0.7333333     1.53333333     1.53333333      9.0000000     4.60000000     3.40000000     16.1333333     2.80000000      8.7333333     14.6666667         347        372          393        95/06         1          17           1           0           0          1        14        19         15    0    0    0    1    0    0    0    0    0    0    1    0    0    0    0    0    0
    48     1  1sX2p    400          0           4         0          0          0         0 0.5833333     2.53333333     2.53333333      0.0000000     4.60000000     3.40000000     16.1333333     2.20000000      7.0000000     14.7333333         347        363          393        95/06         1          10           1           0           0          0        22        12         22    0    0    0    0    0    0    1    0    1    0    0    0    0    0    0    0    0
    49     1 2sX2pN    203          3          10         1          0          0         1 0.9666667     4.46666667     3.26666667     17.1333333     6.66666667    11.06666667     12.5333333     5.93333333      8.4666667      7.0000000         383        396          475        95/07         2           4           3           0           0         44        13         9         57    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0
    49     2 2sX2pN    203          1           5         2          2          1         1 0.7333333     2.60000000     2.60000000      0.0000000     6.66666667    11.06666667     12.5333333     5.46666667      8.2000000      6.6000000         383        397          474        95/07         2           7           1           0           0         43        12        10         55    0    0    0    0    0    0    1    0    1    0    0    0    0    0    0    0    0
    50     1  1sX2p    344          1           8         3          1          3         0 0.9166667     4.60000000     2.60000000      2.9333333     6.66666667    11.06666667     12.5333333     5.46666667      8.2000000      6.6000000         383        397          420        95/07         2           8           0           0           0         17         0        10         17    0    0    1    0    0    0    0    0    0    1    0    0    0    0    0    0    0
    51     1  1sX2p    303          3          16         5          1          1         4 1.1666667     1.86666667     1.86666667     12.0666667     1.00000000     0.46666667      1.4666667     0.66666667      0.3333333      3.0666667         356        411          414        95/06         2           8          29           0           0          3         0        39          3    0    1    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0
    52     1  1sX2p    374          4          15         6          5          3         3 0.8666667     1.33333333     1.33333333      0.0000000     2.46666667     8.40000000     14.8666667     4.13333333      7.2666667      5.2666667         370        400          474        95/07         3           8          10           1           0          3        49        22         52    0    0    0    0    0    0    0    0    1    0    1    0    0    0    0    0    0
    53     1 2sX2pN    491          2           5         1          0          0         1 0.3333333     1.53333333     1.53333333      0.6666667     2.46666667     8.40000000     14.8666667     8.13333333      9.9333333      9.0000000         370        391          432        95/07         3          11           0           1           0          3        26        15         29    0    0    0    0    1    0    0    1    0    0    0    0    0    0    0    0    0
    53     2 2sX2pN    491          6          13         0          2          0         0 0.7000000     1.66666667     0.53333333      2.1333333     2.46666667     8.40000000     14.8666667     5.93333333      8.4666667      7.0000000         370        396          432        95/07         3          15           0           0           0          0        26        18         26    0    0    1    0    0    0    0    0    0    1    0    0    0    0    0    0    0
    54     1 2sX2pR    370          6          23        10          0          0        10 1.6666667     1.80000000     1.66666667      4.8000000     3.86666667     2.73333333      1.5333333     4.20000000      2.9333333      1.6666667          13         15           15        94/07         0           1           1           0           0          0         0         2          0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    54     2 2sX2pR    366          8          19        10          0          6         4 1.5833333     3.73333333     1.93333333      2.2000000     5.00000000     3.46666667      1.6666667     5.06666667      4.0666667      2.6000000          19         26           27        94/07         1           3           1           0           0          0         1         5          1    0    0    0    0    0    1    1    0    0    0    0    0    0    0    0    0    0
    55     1 2sX2pN    132          1           8         1          0          1         0 0.4166667     2.40000000     2.40000000      0.0000000     3.86666667     2.73333333      1.5333333     4.80000000      3.3333333      1.6666667          13         18           21        94/07         2           0           1           0           0          3         0         3          3    0    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0
