Lang	Occurrences	Message
Java	30	java.util.InputMismatchException The Text Pane says ' '
Java	30	error reading: (Access is denied)
Java	29	com.vmware.vim25.InvalidLogin
Java	27	java.io.IOException Cannot run program "#": CreateProcess error=2, The system cannot find the file specified
Java	26	java.util.InputMismatchException radix 1 less than Character.MIN_RADIX
Java	25	-> expected
Java	24	java.lang.NoSuchFieldError <FIELD>
Java	24	java.util.DuplicateFormatFlagsException
Java	24	<NAME> cannot be inherited with different arguments: <1> and <2>
Java	24	final parameter <NAME> assigned
Java	23	java.net.UnknownHostException <HOST>
Java	23	code too large
Java	21	java.lang.IllegalStateException No match found
Java	21	java.lang.OutOfMemoryError Requested array size exceeds VM limit
Java	21	error while writing: No space left on device
Java	20	java.io.FileNotFoundException
Java	20	java.lang.RuntimeException java.io.FileNotFoundException (No such file or directory)
Java	20	error while writing: (Keine Berechtigung)
Java	20	error while writing: There is not enough space on the disk
Java	19	acm.util.ErrorException Main class does not specify a program
Java	19	java.io.IOException File not found:
Java	19	java.rmi.RemoteException VI SDK invoke exception
Java	19	ListIndexOutOfBoundsException
Java	18	java.io.FileNotFoundException (The filename, directory name, or volume label syntax is incorrect)
Java	18	java.lang.IllegalStateException
Java	18	java.lang.OutOfMemoryError GC overhead limit exceeded
Java	18	illegal qualifer: <NAME> class
Java	18	variable <VARIABLE> might be assigned in loop
Java	17	java.awt.IllegalComponentStateException The frame is displayable.
Java	17	java.io.UnsupportedEncodingException
Java	17	java.lang.UnsupportedOperationException getTime() is no longer supported - use System.currentTimeMillis() instead
Java	17	java.util.InputMismatchException JSON string for member of congress in wrong format
Java	17	javax.crypto.BadPaddingException Data must start with zero
Java	17	duplicate annotation
Java	16	java.net.MalformedURLException no protocol: <PROTOCOL>
Java	16	java.util.MissingResourceException Can't find bundle for base name <BASENAME>
Java	15	java.lang.RuntimeException Input buffer broken
Java	15	<VARIABLE> not allowed here
Java	15	incompatible types; no instance(s) of type variable(s) <TYPE> exist so that <TYPE> conforms to <TYPE>
Java	15	initializer must be able to complete normally
Java	14	java.lang.IllegalStateException Unfinished shape cannot run method: <METHOD> setPosition
Java	13	com.mysql.jdbc.exceptions.jdbc4.MySQLIntegrityConstraintViolationException Duplicate entry(' ')
Java	13	java.lang.RuntimeException JOptionPane: type must be one of JOptionPane.ERROR_MESSAGE, JOptionPane.INFORMATION_MESSAGE, JOptionPane.WARNING_MESSAGE, JOptionPane.QUESTION_MESSAGE or JOptionPane.PLAIN_MESSAGE
Java	13	error reading: zip file is empty
Java	13	not a loop label: <NAME>
Java	12	java.lang.UnsupportedOperationException
Java	12	java.util.IllegalFormatWidthException
Java	12	error while writing: Disc quota exceeded
Java	11	java.io.NotSerializableException
Java	11	java.lang.IllegalStateException Unfinished shape cannot run method: <METHOD> setSize
