"nameProject","devsProject"
"Apache_Continuum","batkinson;olamy;breser;ctan;jzurbano;oching;mbaclay;carl;dennisl"
"Apache_Rat","rdonch;sebb;dennisl;danielsh;boday;crohr;gmcdonald;jocaba"
"Apache_Whisker","sebb;rdonch;danielsh"
"Apache_Tentacles","rdonch;dblevins;danielsh"
"Apache_.NET_Ant_Library","boday"
"Apache_CXF","dkormalev;coheigea;sergeyb;owulff;ashakirin;ay;ema;ningjiang;csauer;dsosnoski;ffang;asoldano;amichai;jpell;jgenender;gawor;gmazza;bimargulies;davidb;olegk;gnodet;ericjohnson;tomekopo;joed;amichalec;ulhasbhole"
"Apache_Derby","kahatlen;myrnavl;kmarsden;rhillegas;mamta;bpendleton;mikem;dag;dyre;kristwaa;chaase3;tiago;lilywei"
"Apache_Torque","tfischer"
"Apache_Directory_Server","kayyagari;elecharny;pamarcelot;seelmann;gokturk;akarasulu;saya;felixk"
"Apache_Directory","kayyagari;elecharny;pamarcelot;seelmann;antoine;gokturk;akarasulu;saya;joes;szoerner;felixk"
"Apache_Directory_Studio","pamarcelot;seelmann;elecharny;gokturk;akarasulu;felixk"
"Apache_Excalibur",""
"Apache_Felix","clement;pderop;guillaume;jawi;uiterlix;cziegeler;fmeschbe;apanday;djencks;rickhall;sahoo;gnodet;chetanm;mcculls;marrs;vvalchev;pauls;gokturk;joes;kgilmer;gertv;dbaum;walkerr;sfrenot;pkriens;dsavage;tmoloney;chirino"
"Apache_Geronimo","rmannibucau;gawor;struberg;xuhaihong;xiaming;dblevins;kevan;violalu;genspring;gnodet;chirino;johnxiao;jaydm;rwonly;djencks;hardersen;hanhongfang;michaelfang;chirunhua;jlaskowski;vamsic007; 29 Apr 2011) ; 28 Apr 2011) ;adc;tkirby;rickmcguire"
"Apache_Gora","hsaputra;lewismc;rherget;alfonsonishikawa;kazk;rmarroquin;ferdy;kturner;enis;iocanel;danielsh;mattmann;alexis;ab;jnioche"
"Apache_Hadoop","kihwal;daryn;sandy;brandonli;cnauroth;wang;jeagles;acmurthy;jing9;jlowe;cmccabe;suresh;vinodkv;hitesh;tucu;bikas;atm;todd;arp;llu;stevel;szetszwo;ivanmi;sseth;bobby;tgraves;cdouglas;devaraj;shv;harsh;cos;arpit;eyang;cutting;jitendra;mattf;umamahesh;enis;sradia;tomwhite;ddas;gkesavan;omalley;eli;amareshwari;jghoman;ravigummadi;schen;amarrk;mahadev;stack;phunt;ramya;hairong;sharad;ian;molkov;tanping;boryas;knoguchi;aw;matei;nigel;dhruba"
"Apache_Harmony","tellison;hindessm;jessewilson"
"Apache_HBase","stack;ramkrishna;enis;eclark;tedyu;sershe;larsh;jeffreyz;jmhsieh;liyin;jxiang;nkeywal;jdcryans;rajeshbabu;mbertozzi;ndimiduk;jyates;ddas;anoopsamjohn;zjushch;garyh;apurtell;larsgeorge;dmeil;acube123;gchanan;mbautin;nspiegelberg;todd;kannan;karthik;jgray;rawson"
"Apache_Hive","hashutosh;thejas;brock;gunther;yhuai;ecapriolo;khorgath;rhbutani;navis;joes;cws;daijy;omalley;gates;amareshwari;mithun;gangtimliu;namit;kevinwilfong;heyongqiang;sdong;pauly;jvs;nzhang;jssarma"
"Apache_VSS_Ant_Library",""
"Apache_HttpComponents_Client","olegk;ggregory;sebb;jonm;fx;kwright;asankha"
"Apache_HttpComponents_Core","olegk;ggregory;sebb;wspeirs;asankha"
"Apache_Commons_HttpClient","olegk;sebb"
"Apache_JSPWiki__incubating_","juanpablo;meteatamel;joes;gmazza;brushed;danielsh;clr;florianh;jalkanen"
"Apache_Jackrabbit","jukka;reschke;ard;unico;ckoell;thomasm;alexparvulescu;mreutegg;tripod;dbrosius;angela;mduerig;chetanm;tommaso;stefan;baedke;cdamioli;schans;justin;dpfister;alexkli;fmeschbe"
"ApachePortalsBridges","woonsan;msnicklous;taylor;ate;rwatler;edalquist;vkumar"
