Source,Target,weight,products,services,finances,content,hardware,interviewed
42,41,1,NA,NA,1,NA,NA,FALSE
43,41,1,NA,NA,1,NA,NA,FALSE
44,45,1,1,NA,NA,NA,NA,FALSE
44,184,1,1,NA,NA,NA,NA,FALSE
44,229,3,2,NA,1,NA,NA,FALSE
45,11,1,NA,NA,1,NA,NA,TRUE
45,44,1,NA,NA,1,NA,NA,TRUE
45,46,1,1,NA,NA,NA,NA,TRUE
45,47,1,1,NA,NA,NA,NA,TRUE
45,48,4,2,2,NA,NA,NA,TRUE
46,45,1,NA,NA,1,NA,NA,FALSE
46,48,1,1,NA,NA,NA,NA,FALSE
47,45,1,NA,NA,1,NA,NA,FALSE
47,48,1,1,NA,NA,NA,NA,FALSE
48,45,3,NA,NA,3,NA,NA,FALSE
48,46,1,NA,NA,1,NA,NA,FALSE
48,47,1,NA,NA,1,NA,NA,FALSE
49,33,2,1,1,NA,NA,NA,FALSE
49,58,1,1,NA,NA,NA,NA,FALSE
49,72,1,1,NA,NA,NA,NA,FALSE
49,118,4,4,NA,NA,NA,NA,FALSE
49,343,3,3,NA,NA,NA,NA,FALSE
49,397,1,1,NA,NA,NA,NA,FALSE
50,58,1,1,NA,NA,NA,NA,FALSE
50,72,1,1,NA,NA,NA,NA,FALSE
50,200,3,3,NA,NA,NA,NA,FALSE
50,223,1,1,NA,NA,NA,NA,FALSE
50,316,2,2,NA,NA,NA,NA,FALSE
51,58,1,1,NA,NA,NA,NA,FALSE
51,223,1,1,NA,NA,NA,NA,FALSE
52,58,1,1,NA,NA,NA,NA,FALSE
52,343,1,1,NA,NA,NA,NA,FALSE
53,58,1,NA,1,NA,NA,NA,FALSE
53,316,1,NA,1,NA,NA,NA,FALSE
54,58,1,1,NA,NA,NA,NA,FALSE
55,33,1,1,NA,NA,NA,NA,FALSE
55,58,4,4,NA,NA,NA,NA,FALSE
55,65,1,1,NA,NA,NA,NA,FALSE
55,80,5,1,NA,NA,NA,NA,FALSE
55,91,1,1,NA,NA,NA,NA,FALSE
55,165,1,1,NA,NA,NA,NA,FALSE
55,179,1,1,NA,NA,NA,NA,FALSE
55,200,4,4,NA,NA,NA,NA,FALSE
55,223,1,1,NA,NA,NA,NA,FALSE
55,240,2,2,NA,NA,NA,NA,FALSE
55,245,1,1,NA,NA,NA,NA,FALSE
55,343,2,2,NA,NA,NA,NA,FALSE
56,58,1,1,NA,NA,NA,NA,FALSE
56,158,1,1,NA,NA,NA,NA,FALSE
56,240,1,1,NA,NA,NA,NA,FALSE
56,316,1,NA,1,NA,NA,NA,FALSE
57,58,1,1,NA,NA,NA,NA,FALSE
58,2,1,NA,NA,1,NA,NA,TRUE
58,49,1,NA,NA,1,NA,NA,TRUE
58,53,1,NA,NA,1,NA,NA,TRUE
58,59,1,1,NA,NA,NA,NA,TRUE
58,60,1,1,NA,NA,NA,NA,TRUE
59,58,1,NA,NA,1,NA,NA,FALSE
59,60,1,1,NA,NA,NA,NA,FALSE
60,58,1,NA,NA,1,NA,NA,FALSE
60,59,1,NA,NA,1,NA,NA,FALSE
61,65,1,1,NA,NA,NA,NA,FALSE
61,269,1,1,NA,NA,NA,NA,FALSE
