name,frequency,threads,energy
cr_audio1.flac,1700,1,16323.125
cr_audio1.flac,1700,2,6145.783
cr_audio1.flac,1700,4,3283.689
cr_audio1.flac,1700,8,2000.329
cr_audio1.flac,1700,16,1990.372
cr_audio1.flac,1700,32,1635.516
cr_audio1.flac,1800,1,13538.008
cr_audio1.flac,1800,2,5412.712
cr_audio1.flac,1800,4,2917.233
cr_audio1.flac,1800,8,1893.089
cr_audio1.flac,1800,16,1715.162
cr_audio1.flac,1800,32,1821.213
cr_audio1.flac,1900,1,15196.808
cr_audio1.flac,1900,2,5745.153
cr_audio1.flac,1900,4,3135.604
cr_audio1.flac,1900,8,1919.449
cr_audio1.flac,1900,16,1847.451
cr_audio1.flac,1900,32,1829.095
cr_audio1.flac,2000,1,13471.116
cr_audio1.flac,2000,2,5286.842
cr_audio1.flac,2000,4,2820.099
cr_audio1.flac,2000,8,1835.186
cr_audio1.flac,2000,16,1807.608
cr_audio1.flac,2000,32,1971.161
cr_audio1.flac,2200,1,11866.658
cr_audio1.flac,2200,2,4699.47
cr_audio1.flac,2200,4,2576.396
cr_audio1.flac,2200,8,1646.527
cr_audio1.flac,2200,16,2240.249
cr_audio1.flac,2200,32,1500.337
cr_audio1.flac,2300,1,13520.591
cr_audio1.flac,2300,2,5212.142
cr_audio1.flac,2300,4,2899.343
cr_audio1.flac,2300,8,1815.047
cr_audio1.flac,2300,16,2046.071
cr_audio1.flac,2300,32,1996.895
cr_audio1.flac,2400,1,11240.648
cr_audio1.flac,2400,2,4462.422
cr_audio1.flac,2400,4,2436.677
cr_audio1.flac,2400,8,1870.531
cr_audio1.flac,2400,16,2029.418
cr_audio1.flac,2400,32,1523.082
cr_audio1.flac,2500,1,13010.462
cr_audio1.flac,2500,2,5059.431
cr_audio1.flac,2500,4,2824.218
cr_audio1.flac,2500,8,1869.382
cr_audio1.flac,2500,16,2043.509
cr_audio1.flac,2500,32,2065.674
cr_audio1.flac,2700,1,12310.732
cr_audio1.flac,2700,2,4871.312
cr_audio1.flac,2700,4,2697.346
cr_audio1.flac,2700,8,1898.172
cr_audio1.flac,2700,16,1870.008
cr_audio1.flac,2700,32,1464.014
cr_audio1.flac,2800,1,12438.779
cr_audio1.flac,2800,2,4924.596
cr_audio1.flac,2800,4,2755.512
cr_audio1.flac,2800,8,1854.216
cr_audio1.flac,2800,16,1689.938
cr_audio1.flac,2800,32,1428.914
cr_audio1.flac,2900,1,10726.267
cr_audio1.flac,2900,2,4205.925
cr_audio1.flac,2900,4,2313.571
cr_audio1.flac,2900,8,1746.228
cr_audio1.flac,2900,16,2263.646
cr_audio1.flac,2900,32,1944.656
cr_audio1.flac,2901,1,12361.381
cr_audio1.flac,2901,2,5088.47
cr_audio1.flac,2901,4,2931.952
cr_audio1.flac,2901,8,2126.927
cr_audio1.flac,2901,16,2375.382
cr_audio1.flac,2901,32,2103.606
cr_audio1.wav,1200,1,2575.085
cr_audio1.wav,1200,2,1373.321
cr_audio1.wav,1200,4,751.175
cr_audio1.wav,1200,8,736.086
cr_audio1.wav,1200,16,1075.203
cr_audio1.wav,1200,32,997.805
cr_audio1.wav,1300,1,2280.472
cr_audio1.wav,1300,2,1216.963
cr_audio1.wav,1300,4,722.357
cr_audio1.wav,1300,8,639.403
cr_audio1.wav,1300,16,1002.985
cr_audio1.wav,1300,32,1068.002
cr_audio1.wav,1400,1,2154.586
cr_audio1.wav,1400,2,1166.242
cr_audio1.wav,1400,4,654.623
cr_audio1.wav,1400,8,508.192
cr_audio1.wav,1400,16,895.086
cr_audio1.wav,1400,32,822.708
cr_audio1.wav,1600,1,1917.832
cr_audio1.wav,1600,2,1038.342
cr_audio1.wav,1600,4,585.153
cr_audio1.wav,1600,8,418.746
cr_audio1.wav,1600,16,877.696
cr_audio1.wav,1600,32,909.164
cr_audio1.wav,1700,1,1827.337
cr_audio1.wav,1700,2,1006.195
cr_audio1.wav,1700,4,569.806
cr_audio1.wav,1700,8,412.399
cr_audio1.wav,1700,16,779.076
cr_audio1.wav,1700,32,879.131
cr_audio1.wav,1800,1,1729.32
cr_audio1.wav,1800,2,952.172
cr_audio1.wav,1800,4,540.596
cr_audio1.wav,1800,8,365.894
cr_audio1.wav,1800,16,852.472
cr_audio1.wav,1800,32,853.677
cr_audio1.wav,1900,1,1667.833
cr_audio1.wav,1900,2,921.428
cr_audio1.wav,1900,4,535.943
cr_audio1.wav,1900,8,363.982
cr_audio1.wav,1900,16,705.714
cr_audio1.wav,1900,32,732.744
cr_audio1.wav,2000,1,1691.558
cr_audio1.wav,2000,2,916.084
cr_audio1.wav,2000,4,533.924
cr_audio1.wav,2000,8,384.577
cr_audio1.wav,2000,16,766.694
cr_audio1.wav,2000,32,577.989
cr_audio1.wav,2200,1,1493.13
cr_audio1.wav,2200,2,816.059
cr_audio1.wav,2200,4,474.731
cr_audio1.wav,2200,8,455.257
